BRAND;"VENDOR CODE";TITLE;QUANTITY;WEIGHT;VOLUME;DELIVERY;STOCK;PRICE,AED;MIN_LOT
MITSUBISHI;'1005B222;"GASKET,CYLINDER HEAD(*)";2;0,319;0,870;"=""3/6""";AB4;169,33;1
MITSUBISHI;'1005B278;"GASKET,CYLINDER HEAD";163;0,121;0,330;"=""3/6""";AB4;79,75;1
MITSUBISHI;'1005B339;"BOLT,CYLINDER HEAD";1;0,078;0,000;"=""3/6""";AB4;12,44;1
MITSUBISHI;'1005B340;"HEAD ASSY,ENG CYLINDER";1;24,915;0,000;"=""3/6""";AB4;4316,10;1
MITSUBISHI;'1005B373;"BOLT,CYLINDER HEAD";71;0,099;0,000;"=""3/6""";AB4;7,63;1
MITSUBISHI;'1005B424;"GASKET,CYLINDER HEAD";3;0,188;0,513;"=""3/6""";AB4;94,58;1
MITSUBISHI;'1005B426;"GASKET,CYLINDER HEAD";178;0,180;0,528;"=""3/6""";AB4;84,23;1
MITSUBISHI;'1005B427;"GASKET,CYLINDER HEAD";93;0,180;0,546;"=""3/6""";AB4;168,75;1
MITSUBISHI;'1005B428;"GASKET,CYLINDER HEAD";85;0,183;0,549;"=""3/6""";AB4;181,63;1
MITSUBISHI;'1005B450;"GASKET,CYLINDER HEAD";63;0,268;0,795;"=""3/6""";AB4;81,36;1
MITSUBISHI;'1005B451;"GASKET,CYLINDER HEAD( )";14;0,261;0,774;"=""3/6""";AB4;78,65;1
MITSUBISHI;'1005B453;"HEAD ASSY,ENG CYLINDER";1;20,460;0,000;"=""3/6""";AB4;3641,52;1
MITSUBISHI;'1005B586;"BOLT,CYLINDER HEAD";109;0,205;0,000;"=""3/6""";AB4;15,74;1
MITSUBISHI;'1005B594;"WASHER,CYLINDER HEAD";9;0,008;0,000;"=""3/6""";AB4;4,22;1
MITSUBISHI;'1005B672;"GASKET,CYLINDER HEAD(*)";2;0,532;1,452;"=""3/6""";AB4;123,90;1
MITSUBISHI;'1005B765;"GASKET,CYLINDER HEAD(*)";1;0,367;1,002;"=""3/6""";AB4;160,09;1
MITSUBISHI;'1005B819;"GASKET,CYLINDER HEAD";2;0,354;0,966;"=""3/6""";AB4;255,84;1
MITSUBISHI;'1005B997;"GASKET,CYLINDER HEAD(*)";3;0,365;0,996;"=""3/6""";AB4;225,67;1
MITSUBISHI;'1005B998;"GASKET,CYLINDER HEAD(*)";4;0,382;1,041;"=""3/6""";AB4;193,78;1
MITSUBISHI;'1005C539;"HEAD ASSY,ENG CYLINDER";2;8,525;0,000;"=""3/6""";AB4;1648,82;1
MITSUBISHI;'1005C723;"GASKET,CYLINDER HEAD";2;0,579;1,578;"=""3/6""";AB4;122,80;1
MITSUBISHI;'1005C724;"GASKET,CYLINDER HEAD";58;0,625;1,704;"=""3/6""";AB4;82,10;1
MITSUBISHI;'1005C965;"HEAD ASSY,ENG CYLINDER";1;20,900;0,000;"=""3/6""";AB4;5616,94;1
MITSUBISHI;'1005D179;"GASKET,CYLINDER HEAD(*)";42;0,410;0,390;"=""3/6""";AB4;221,34;1
MITSUBISHI;'1005D180;"GASKET,CYLINDER HEAD";1;0,349;0,000;"=""3/6""";AB4;252,72;1
MITSUBISHI;'10101A210P;"GASKET KIT,ENG OVERHAUL(*)";2;0,000;0,000;"=""3/6""";AB4;853,57;1
MITSUBISHI;'10101A220P;"GASKET KIT,ENG OVERHAUL";1;0,000;0,000;"=""3/6""";AB4;732,79;1
MITSUBISHI;'10101A230P;"GASKET KIT,ENG OVERHAUL";1;0,000;0,000;"=""3/6""";AB4;732,79;1
MITSUBISHI;'10101W290P;"GASKET KIT,ENG OVERHAUL";1;0,000;0,000;"=""3/6""";AB4;791,44;1
MITSUBISHI;'10101W530P;"GASKET KIT,ENG OVERHAUL";4;1,294;0,000;"=""3/6""";AB4;736,46;1
MITSUBISHI;'10101W540P;"GASKET KIT,ENG OVERHAUL";1;1,316;0,000;"=""3/6""";AB4;736,46;1
MITSUBISHI;'10101W550P;"GASKET KIT,ENG OVERHAUL";2;1,356;4,050;"=""3/6""";AB4;736,28;1
MITSUBISHI;'10101W560P;"GASKET KIT,ENG OVERHAUL";5;1,450;0,000;"=""3/6""";AB4;667,13;1
MITSUBISHI;'10101W570P;"GASKET KIT,ENG OVERHAUL";3;1,453;0,000;"=""3/6""";AB4;736,28;1
MITSUBISHI;'10101W580P;"GASKET KIT,ENG OVERHAUL";2;0,000;0,000;"=""3/6""";AB4;736,46;1
